更新时间,#genre#
2024-10-19 18:18:41,url
央视频道,#genre#
CCTV1,http://42.92.117.243:8888/rtp/239.255.30.101:8231$1920x1080
CCTV1,http://118.183.212.29:6868/rtp/239.255.30.101:8231$1920x1080
CCTV1,http://113.26.165.64:8082/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV1,http://106.86.155.84:20002/rtp/235.254.198.51:1480$1920x1080
CCTV1,http://123.114.80.74:8012/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://115.230.250.238:9999/rtp/233.50.201.222:5140$1920x1080
CCTV1,http://221.225.97.107:2020/rtp/239.49.8.129:6000$1920x1080
CCTV1,http://222.129.138.100:4088/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://220.176.218.6:8888/rtp/239.252.219.200:5140$1920x1080
CCTV1,http://114.225.190.118:8800/rtp/239.49.8.129:6000$1920x1080
CCTV1,http://119.166.159.120:6666/rtp/239.253.254.77:8000$1920x1080
CCTV1,http://121.237.155.237:8800/rtp/239.49.8.129:6000$1920x1080
CCTV1,http://180.119.183.126:8800/rtp/239.49.8.129:6000$1920x1080
CCTV1,http://49.76.53.232:4000/rtp/239.49.8.129:6000$1920x1080
CCTV2,http://58.32.43.55:4022/rtp/239.45.1.109:5140$1920x1080
CCTV2,http://113.26.165.64:8082/rtp/239.1.1.8:8008$1920x1080
CCTV2,http://115.230.250.238:9999/rtp/233.50.201.119:5140$1920x1080
CCTV2,http://120.55.49.231:3095/rtp/233.50.201.119:5140
CCTV2,http://115.230.250.238:9999/rtp/233.50.201.2:5140$1920x1080
CCTV2,http://120.55.49.231:3095/rtp/233.50.201.2:5140
CCTV2,http://221.225.97.107:2020/rtp/239.49.8.130:6000$1920x1080
CCTV2,http://121.237.155.237:8800/rtp/239.49.8.130:6000$1920x1080
CCTV2,http://180.119.183.126:8800/rtp/239.49.8.130:6000$1920x1080
CCTV2,http://49.76.53.232:4000/rtp/239.49.8.130:6000$1920x1080
CCTV2,http://114.225.190.118:8800/rtp/239.49.8.130:6000$1920x1080
CCTV2,http://221.225.97.107:2020/rtp/239.49.1.2:6000$1920x1080
CCTV2,http://121.237.155.237:8800/rtp/239.49.1.2:6000$1920x1080
CCTV2,http://180.119.183.126:8800/rtp/239.49.1.2:6000$1920x1080
CCTV2,http://49.76.53.232:4000/rtp/239.49.1.2:6000$1920x1080
CCTV3,http://58.32.43.55:4022/rtp/239.45.1.68:5140$1920x1080
CCTV3,http://113.26.165.64:8082/rtp/239.1.1.9:8009$1920x1080
CCTV3,http://115.230.250.238:9999/rtp/233.50.201.196:5140$1920x1080
CCTV3,http://120.55.49.231:3095/rtp/233.50.201.196:5140
CCTV3,http://115.230.250.238:9999/rtp/233.50.201.16:5140$1920x1080
CCTV3,http://120.55.49.231:3095/rtp/233.50.201.16:5140
CCTV3,http://221.225.97.107:2020/rtp/239.49.9.31:6000$1920x1080
CCTV3,http://121.237.155.237:8800/rtp/239.49.9.31:6000$1920x1080
CCTV3,http://180.119.183.126:8800/rtp/239.49.9.31:6000$1920x1080
CCTV3,http://49.76.53.232:4000/rtp/239.49.9.31:6000$1920x1080
CCTV3,http://114.225.190.118:8800/rtp/239.49.9.31:6000$1920x1080
CCTV3,http://221.225.97.107:2020/rtp/239.49.1.3:6000$1920x1080
CCTV3,http://121.237.155.237:8800/rtp/239.49.1.3:6000$1920x1080
CCTV3,http://180.119.183.126:8800/rtp/239.49.1.3:6000$1920x1080
CCTV3,http://49.76.53.232:4000/rtp/239.49.1.3:6000$1920x1080
CCTV4,http://58.32.43.55:4022/rtp/239.45.0.2:5140$1920x1080
CCTV4,http://113.26.165.64:8082/rtp/239.1.1.10:8010$1920x1080
CCTV4,http://115.230.250.238:9999/rtp/233.50.200.101:5140$1920x1080
CCTV4,http://120.55.49.231:3095/rtp/233.50.200.101:5140
CCTV4,http://115.230.250.238:9999/rtp/233.50.201.4:5140$1920x1080
CCTV4,http://120.55.49.231:3095/rtp/233.50.201.4:5140
CCTV4,http://221.225.97.107:2020/rtp/239.49.8.131:6000$1920x1080
CCTV4,http://121.237.155.237:8800/rtp/239.49.8.131:6000$1920x1080
CCTV4,http://180.119.183.126:8800/rtp/239.49.8.131:6000$1920x1080
CCTV4,http://49.76.53.232:4000/rtp/239.49.8.131:6000$1920x1080
CCTV4,http://114.225.190.118:8800/rtp/239.49.8.131:6000$1920x1080
CCTV4,http://221.225.97.107:2020/rtp/239.49.1.4:6000$1920x1080
CCTV4,http://121.237.155.237:8800/rtp/239.49.1.4:6000$1920x1080
CCTV4,http://180.119.183.126:8800/rtp/239.49.1.4:6000$1920x1080
CCTV4,http://49.76.53.232:4000/rtp/239.49.1.4:6000$1920x1080
CCTV4欧洲,http://58.32.43.55:4022/rtp/239.45.0.2:5140$1920x1080
CCTV4欧洲,http://113.26.165.64:8082/rtp/239.1.1.10:8010$1920x1080
CCTV4欧洲,http://115.230.250.238:9999/rtp/233.50.200.101:5140$1920x1080
CCTV4欧洲,http://120.55.49.231:3095/rtp/233.50.200.101:5140
CCTV4欧洲,http://115.230.250.238:9999/rtp/233.50.201.4:5140$1920x1080
CCTV4欧洲,http://120.55.49.231:3095/rtp/233.50.201.4:5140
CCTV4欧洲,http://221.225.97.107:2020/rtp/239.49.8.131:6000$1920x1080
CCTV4欧洲,http://121.237.155.237:8800/rtp/239.49.8.131:6000$1920x1080
CCTV4欧洲,http://180.119.183.126:8800/rtp/239.49.8.131:6000$1920x1080
CCTV4欧洲,http://49.76.53.232:4000/rtp/239.49.8.131:6000$1920x1080
CCTV4欧洲,http://114.225.190.118:8800/rtp/239.49.8.131:6000$1920x1080
CCTV4欧洲,http://221.225.97.107:2020/rtp/239.49.1.4:6000$1920x1080
CCTV4欧洲,http://121.237.155.237:8800/rtp/239.49.1.4:6000$1920x1080
CCTV4欧洲,http://180.119.183.126:8800/rtp/239.49.1.4:6000$1920x1080
CCTV4欧洲,http://49.76.53.232:4000/rtp/239.49.1.4:6000$1920x1080
CCTV4美洲,http://220.176.218.6:8888/rtp/239.252.219.193:5140$1920x1080
CCTV4美洲,http://122.9.151.210:887/rtp/238.255.2.214:5999
CCTV4美洲,http://enlen.vip:4022/rtp/239.200.201.181:4220$1920x1080
CCTV4美洲,http://123.114.80.74:8012/rtp/239.3.1.214:4220$1920x1080
CCTV4美洲,http://222.129.138.100:4088/rtp/239.3.1.214:4220$1920x1080
CCTV4K,http://enlen.vip:4022/rtp/239.200.200.202:8784$1920x1080
CCTV5,http://58.32.43.55:4022/rtp/239.45.1.69:5140$1920x1080
CCTV5,http://113.26.165.64:8082/rtp/239.1.1.11:8011$1920x1080
CCTV5,http://115.230.250.238:9999/rtp/233.50.201.197:5140$1920x1080
CCTV5,http://120.55.49.231:3095/rtp/233.50.201.197:5140
CCTV5,http://115.230.250.238:9999/rtp/233.50.201.17:5140$1920x1080
CCTV5,http://120.55.49.231:3095/rtp/233.50.201.17:5140
CCTV5,http://221.225.97.107:2020/rtp/239.49.9.32:6000$1920x1080
CCTV5,http://121.237.155.237:8800/rtp/239.49.9.32:6000$1920x1080
CCTV5,http://180.119.183.126:8800/rtp/239.49.9.32:6000$1920x1080
CCTV5,http://49.76.53.232:4000/rtp/239.49.9.32:6000$1920x1080
CCTV5,http://114.225.190.118:8800/rtp/239.49.9.32:6000$1920x1080
CCTV5,http://221.225.97.107:2020/rtp/239.49.1.5:6000$1920x1080
CCTV5,http://121.237.155.237:8800/rtp/239.49.1.5:6000$1920x1080
CCTV5,http://180.119.183.126:8800/rtp/239.49.1.5:6000$1920x1080
CCTV5,http://49.76.53.232:4000/rtp/239.49.1.5:6000$1920x1080
CCTV5+,http://113.26.165.64:8082/rtp/239.1.1.12:8012$1920x1080
CCTV5+,http://115.230.250.238:9999/rtp/233.50.201.220:5140$1920x1080
CCTV5+,http://120.55.49.231:3095/rtp/233.50.201.220:5140
CCTV5+,http://221.225.97.107:2020/rtp/239.49.8.137:6000$1920x1080
CCTV5+,http://121.237.155.237:8800/rtp/239.49.8.137:6000$1920x1080
CCTV5+,http://180.119.183.126:8800/rtp/239.49.8.137:6000$1920x1080
CCTV5+,http://49.76.53.232:4000/rtp/239.49.8.137:6000$1920x1080
CCTV5+,http://114.225.190.118:8800/rtp/239.49.8.137:6000$1920x1080
CCTV5+,http://106.86.155.84:20002/rtp/235.254.198.122:1764$1920x1080
CCTV5+,http://183.66.51.205:4022/rtp/235.254.198.122:1764$1920x1080
CCTV5+,http://220.176.218.6:8888/rtp/239.252.219.72:5140$1920x1080
CCTV5+,http://119.166.159.120:6666/rtp/239.253.254.80:8000$1920x1080
CCTV5+,http://112.226.139.185:9999/rtp/239.253.254.80:8000$1920x1080
CCTV5+,http://42.92.117.243:8888/rtp/239.255.30.184:8231$1920x1080
CCTV5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231$1920x1080
CCTV6,http://58.32.43.55:4022/rtp/239.45.1.70:5140$1920x1080
CCTV6,http://113.26.165.64:8082/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://115.230.250.238:9999/rtp/233.50.201.198:5140$1920x1080
CCTV6,http://120.55.49.231:3095/rtp/233.50.201.198:5140
CCTV6,http://115.230.250.238:9999/rtp/233.50.201.18:5140$1920x1080
CCTV6,http://120.55.49.231:3095/rtp/233.50.201.18:5140
CCTV6,http://221.225.97.107:2020/rtp/239.49.9.33:6000$1920x1080
CCTV6,http://121.237.155.237:8800/rtp/239.49.9.33:6000$1920x1080
CCTV6,http://180.119.183.126:8800/rtp/239.49.9.33:6000$1920x1080
CCTV6,http://49.76.53.232:4000/rtp/239.49.9.33:6000$1920x1080
CCTV6,http://114.225.190.118:8800/rtp/239.49.9.33:6000$1920x1080
CCTV6,http://221.225.97.107:2020/rtp/239.49.1.6:6000$1920x1080
CCTV6,http://121.237.155.237:8800/rtp/239.49.1.6:6000$1920x1080
CCTV6,http://180.119.183.126:8800/rtp/239.49.1.6:6000$1920x1080
CCTV6,http://49.76.53.232:4000/rtp/239.49.1.6:6000$1920x1080
CCTV7,http://58.32.43.55:4022/rtp/239.45.3.56:5140$1920x1080
CCTV7,http://113.26.165.64:8082/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://115.230.250.238:9999/rtp/233.50.201.120:5140$1920x1080
CCTV7,http://120.55.49.231:3095/rtp/233.50.201.120:5140
CCTV7,http://115.230.250.238:9999/rtp/233.50.201.7:5140$1920x1080
CCTV7,http://120.55.49.231:3095/rtp/233.50.201.7:5140
CCTV7,http://221.225.97.107:2020/rtp/239.49.8.132:6000$1920x1080
CCTV7,http://121.237.155.237:8800/rtp/239.49.8.132:6000$1920x1080
CCTV7,http://180.119.183.126:8800/rtp/239.49.8.132:6000$1920x1080
CCTV7,http://49.76.53.232:4000/rtp/239.49.8.132:6000$1920x1080
CCTV7,http://114.225.190.118:8800/rtp/239.49.8.132:6000$1920x1080
CCTV7,http://221.225.97.107:2020/rtp/239.49.1.254:6000$1920x1080
CCTV7,http://121.237.155.237:8800/rtp/239.49.1.254:6000$1920x1080
CCTV7,http://180.119.183.126:8800/rtp/239.49.1.254:6000$1920x1080
CCTV7,http://49.76.53.232:4000/rtp/239.49.1.254:6000$1920x1080
CCTV8,http://58.32.43.55:4022/rtp/239.45.1.71:5140$1920x1080
CCTV8,http://113.26.165.64:8082/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://115.230.250.238:9999/rtp/233.50.201.199:5140$1920x1080
CCTV8,http://120.55.49.231:3095/rtp/233.50.201.199:5140
CCTV8,http://115.230.250.238:9999/rtp/233.50.201.19:5140$1920x1080
CCTV8,http://120.55.49.231:3095/rtp/233.50.201.19:5140
CCTV8,http://221.225.97.107:2020/rtp/239.49.9.34:6000$1920x1080
CCTV8,http://121.237.155.237:8800/rtp/239.49.9.34:6000$1920x1080
