更新时间,#genre#
2024-10-16 21:45:48,url
央视频道,#genre#
CCTV1,http://27.10.74.30:8005/rtp/225.0.4.74:7980$1920x1080
CCTV1,http://124.230.56.93:55555/rtp/239.76.253.151:9000$1920x1080
CCTV1,http://118.183.212.29:6868/rtp/239.255.30.101:8231$1920x1080
CCTV1,http://171.213.198.43:6666/rtp/239.93.0.184:5140$1920x1080
CCTV1,http://180.158.164.233:8888/rtp/239.45.3.145:5140$1920x1080
CCTV1,http://114.246.181.137:8888/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://222.129.138.100:4088/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://114.243.97.208:8822/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://171.213.198.225:4000/rtp/239.93.0.184:5140$1920x1080
CCTV1,http://125.71.159.29:6666/rtp/239.93.0.184:5140$1920x1080
CCTV1,http://111.165.215.158:50000/rtp/225.1.1.120:5002$1920x1080
CCTV1,http://183.164.62.149:5000/rtp/238.1.78.166:7200$1920x1080
CCTV1,http://117.67.171.13:4022/rtp/238.1.78.166:7200$1920x1080
CCTV1,http://114.98.161.147:2000/rtp/238.1.78.166:7200$1920x1080
CCTV1,http://61.190.129.195:8688/rtp/238.1.78.166:7200$1920x1080
CCTV2,http://180.158.164.233:8888/rtp/239.45.1.109:5140$1920x1080
CCTV2,http://114.246.181.137:8888/rtp/239.3.1.60:8084$1920x1080
CCTV2,http://222.129.138.100:4088/rtp/239.3.1.60:8084$1920x1080
CCTV2,http://114.243.97.208:8822/rtp/239.3.1.60:8084$1920x1080
CCTV2,http://171.213.198.43:6666/rtp/239.93.1.23:6000$1920x1080
CCTV2,http://171.213.200.219:8888/rtp/239.93.1.23:6000
CCTV2,http://171.213.198.225:4000/rtp/239.93.1.23:6000$1920x1080
CCTV2,http://125.71.159.29:6666/rtp/239.93.1.23:6000$1920x1080
CCTV2,http://111.165.215.158:50000/rtp/225.1.1.133:5002$1920x1080
CCTV2,http://183.164.62.149:5000/rtp/238.1.78.235:7752$1920x1080
CCTV2,http://117.67.171.13:4022/rtp/238.1.78.235:7752$1920x1080
